1322|Edgewater III Single Family|Polygon Vancouver|H:\1322|RT, DB|Deercreek Woods, Files under 1121|
1322A|Edgewater III Single Family Extra Services Owner Changes|Polygon Vancouver|H:\1322|RT, DB|Deercreek Woods|
1321|Kenmore Project|Mainstreet Property Group, LLC|K:\1321|BW, RT||L6
1320|Villebois II Barber Street Cottages 2040 & 2050|Polygon Vancouver|K:\1320|RT, AF||
1319|East Gateway Frontloaded Townhomes|Polygon Northwest Company|H:\1319|JH|Millcreek|
1318|East Gateway Alley Townhomes|Polygon Northwest Company|H:\1318|BW, JH|Millcreek|
1317|East Gateway Apartments|Polygon Northwest Company|H:\1317|BW|Millcreek|
1317B|East Gateway Apartments Extra Services Owner Revisions|Polygon Northwest Company|H:\1317|BW, GG|Millcreek|
1317A|East Gateway Clubhouse|Polygon Northwest Company|H:\1317|BW, AF|Millcreek|
1316|Emerald Townhomes|Oakpointe|H:\1316|BW, DV, JH||
1316B|Emerald Townhomes Extra Services Site Plan Revisions|Oakpointe|H:\1316|||
1316A|Emerald Townhomes Extra Service Permit Submittal|Oakpointe|H:\1316|BW, DV, JH||
1315|Grant Place Townhomes|Michael Chan|H:\1315|BW, DV||
1314|Logbrook|Polygon Northwest Company|H:\1314|BW, JL, DB, JH||
1314A|Logbrook Sales Office|Polygon Northwest Company|H:\1314|BW, AF||
1313|Barbee Mill 3-Story Waterfront House (Lots 46 & 47)|Conner Homes|H:\1313|RT, DB||
1313C|Barbee Mill (Lots 46 & 47) Extra Services Owner Changes|Conner Homes|H:\1313|RT, DB||
1313B|Barbee Mill (Lots 46 & 47) Extra Services Plot plans and ECPs|Conner Homes|H:\1313|RT, DB||
1313A|Barbee Mill (Lots 46 & 47) Extra Services Redraft Rupard Plans|Conner Homes|H:\1313|RT, DB||
1312|Tridor Site|Michael Chan|H:\1312|BW||
1311|Rosemont|Tarragon, Inc.|H:\1311|BW||
1310|Keppler Townhomes|Pacific Ridge Homes|H:\1310|BW||
1309|Orenco Woods Single Family|Polygon Vancouver|H:\1309|RT||
1308|Barbee Mill Lot 48 House On The Point|Conner Homes|H:\1308|RT||
1308A|Barbee Mill Lot 48 House on The Point - Extra Services Plot Plans|Conner Homes|H:\1308|AF||
1307|Brenchley Estates Single Family|Polygon Vancouver|H:\1307|RT, AF||
1307A|Brenchley Estates Single Family Extra Services Owner Changes|Polygon Vancouver|H:\1307|RT, AF||
1306|North Bethany Townhomes|Polygon Vancouver|H:\1306|RT||
1305|Renwood Apartments|Tarragon, Inc.|H:\1305|BW, GG||
1305D|Renwood Apartments Extra Services Owner Changes|Tarragon, Inc.|H:\1305|BW, GG||
1305C|Renwood Apartments Extra Services Clubhouse Lighthouse|Tarragon, Inc.|H:\1305|BW, GG||
1305B|Renwood Apartments Extra Services Permit Submittal|Tarragon, Inc.|H:\1305|BW, GG||
1305A|Renwood Apartments Extra Services Clubhouse|Tarragon, Inc.|H:\1305|BW, GG||
1303|Boren Creek Townhomes|Conner Homes|H:\1303|RT, AT, DB||3
1302|Trails at Newcastle Single Family|Conner Homes|H:\1302|RT, AF, DB||3
1302M|Trails at Newcastle NON-BILLABLE Changes|Conner Homes|H:\1302|RT, DB||
1302A|Trails at Newcastle Extra Services Owner Changes|Conner Homes|H:\1302|RT, DB||
1301|Mercer Island Townhomes|Conner Homes|H:\1301|RT, JL, JH||3
1301B|Mercer Island TH Extra Services 3D View Study|Conner Homes|H:\1301|RT, JH||
1301A|Mercer Island Townhomes Extra Services Monument Sign|Conner Homes|H:\1301|RT||
1251|Trinity Multi‐Family|Tarragon, Inc.|H:\1251|BW||
1250|Silver Lake Multifamily|Taylor Development|H:\1250|BW||
1249|Cedar Falls Plan 4035|Polygon Northwest Company|H:\1249|BW||
1248|Glacier Run Apartments|Tarragon, Inc.|H:\1248|BW, AT|Sunrise (0721)|37
1247|Snohomish Station 3|Rudeen Development|H:\1247|BW||
1246|Villebois III Fee-Simple Row Houses|Polygon Vancouver|H:\1246|RT, AT|Tonquin Woods 4 & 5, Zion|
1245|Villebois II Duplexes E5E5|Polygon Vancouver|K:\1245|RT, AF||
1244|Villebois II Cottages 2040 & 2050|Polygon Vancouver|H:\1244|RT, DB||
1244C|Villebois II Cottages 2040 & 2050 Extra Services Costa Circle Product|Polygon Vancouver|H:\1244|RT, AF||
1244B|Villebois II Cottages 2040 & 2050 Extra Services Owner Changes|Polygon Vancouver|H:\1244|RT, AF, DB||
1244A|Villebois II Cottages 2040 & 2050 Extra Services Enhanced Elevations|Polygon Vancouver|H:\1244|RT, AF, DB||
1243|Cornelius Baseline Apartments Clubhouse|Polygon Vancouver|H:\1243|RT||
1242|Cornelius Baseline Apartments|Polygon Vancouver|H:\1242|RT||
1241|Ribera|Lozier Homes|K:\1241|BW||
1240|Cascara Townhomes|Polygon Northwest Company|H:\1240|BW, GG, JH, AH||
1239|Beaver Creek Apartments|Evergreen Housing|H:\1239|AT||
1238|Brownstone at Issaquah Highlands|Polygon Northwest Company|H:\1238|RT, DV, DB||
1238B|Brownstone at Issaquah Highlands Extra Services Owner Revisions|Polygon Northwest Company|H:\1238|DV, JH||
1238A|Brownstone at Issaquah Highlands Extra Services Value Engineering|Polygon Northwest Company|H:\1238|RT, DV, DB||
1237|Silver Lake Apartments|Investco|K:\1237|BW||
1236|Old Town Townhomes|Lozier Homes|K:\1236|BW||
1235|Trenton Condominiums|Conner Homes|H:\1235|RT, AT|Kirkland Waterfront|3
1235A|Trenton Condominiums Extra Service View Corridor|Conner Homes|H:\1235|RT, AT|Kirkland Waterfront|
1234|Belmont Single Family (Bellevue)|Conner Homes|H:\1234|RT, DB||3
1234C|Belmont Single Family Extra Services Owner Changes|Conner Homes|H:\1234|RT, DB||
1234B|Belmont Single Family Extra Services Fireplace Change|Conner Homes|H:\1234|RT, DB||
1234A|Belmont Single Family Extra Services Lot Plans|Conner Homes|H:\1234|RT, DB||
1233|Bothell Townhomes|Polygon Northwest Company|K:\1233|BW, RT||
1232|Twin Creeks Single Family|Polygon Vancouver|H:\1232|RT, JH|Cooper Mountain, Quarry|
1231|Bremerton Nursing Facility Conversion|JWJ Group, LLC|H:\1231|RT, AH||
1230|River Road Apartments|Evergreen Housing|H:\1230|BW, AT, DV||
1230P|River Road Apartments - Prelim|Evergreen Housing|H:\1230P|BW, AT, DV||
1230C|River Road Apartments Extra Services Market Rate Conversion|Evergreen Housing|H:\1230|AT||
1230B|River Road Apartments Extra Services Site Plan Study|Evergreen Housing|H:\1230|AT||
1230A|River Road Apartments Extra Services|Evergreen Housing|H:\1230|BW, RT, AT||
1229|View Ridge Townhomes|Polygon Northwest Company|H:\1229|RT, JL, AF|Division 95|
1229C|View Ridge Townhomes Extra Services Marketing|Polygon Northwest Company|H:\1229|RT, JL|Division 95|
1229B|View Ridge Townhomes Extra Services 2012 IRC|Polygon Northwest Company|H:\1229|JL||
1229A|View Ridge Townhomes Extra Services Owner Changes|Polygon Northwest Company|H:\1229|RT, JL, AF|Division 95|
1228|Broadway Park Apartments|Rudeen Development|H:\1228|BW, GG|Mirabolante|
1228A|Broadway Park Apartments Extra Services Clubhouse|Rudeen Development|H:\1228|BW, GG|Mirabolante|
1227|Johnson House Review|George L. Johnson|H:\1227|BW||
1226|High Point Block 9|Polygon Northwest Company|K:\1226|BW||
1225|Snoqualmie Ridge Townhomes|Verity Housing Advisors, LLC|K:\1225|BW||
1224|Kirkland Property|Milestone Properties|K:\1224|RT||
1223|Jewell Single Family|Polygon Northwest Company|H:\1223|JH||
1223A|Jewell Single Family Extra Services Owner Changes|Polygon Northwest Company|H:\1223|JH||
1222|Jewell Site Plan|Polygon Northwest Company|H:\1222|BW|Reserve at North Creek|
1221|Washington Market|Investco|K:\1221|BW||
1220|Lake Forrest Property|Intracorp|K:\1220|BW||
1219|Forest Glen Single Family (Beaverton)|Polygon Vancouver|H:\1219|RT, AF||
1219B|Forest Glen XS Owner Changes/Enhanced Elevations|Polygon Vancouver|H:\1219|AF||
1219A|Forest Glen Extra Services Floor Framing Changes|Polygon Vancouver|H:\1219|AF||
1218|Snohomish Station Phase II|Rudeen Development|H:\1218|BW||
1217|Aegis of Redmond - Memory Care Enhancements|Aegis Living|K:\1217|RT||
1216|Aegis of Redmond - HVAC Improvements|Aegis Living|K:\1216|RT||
1215|Barbee Mill 6414M.2/.3 Lots 23‐24|Conner Homes|K:\1215|RT||
1215A|Barbee Mill 6414M.2/.3 Lots 23‐24 Extra Services|Conner Homes|K:\1215|RT||
1214|Lakeside Apartments|Polygon Northwest Company|H:\1214|BW, GG||
1213|Silver Creek Crossing|Pacific Ridge Homes|H:\1213|BW||
1212|High Point Phase 3 Plot Plans|Polygon Northwest Company|H:\1212|BW||
1211|Baseline Woods Single Family|Polygon Vancouver|H:\1211|RT, DB||
1211C|Baseline Woods Single Family Extra Services Sales Trailer Porch Roof|Polygon Vancouver|H:\1211|RT||
1211B|Baseline Woods Single Family Extra Services Owner Changes|Polygon Vancouver|H:\1211|RT, DB||
1211A|Baseline Woods Single Family Extra Services Site Planning|Polygon Vancouver|H:\1211|RT, DB||
1210|Scoccolo Pod B Apartments|Polygon Northwest Company|K:\1210|AT||
1209|Mill Creek Apartments|Polygon Northwest Company|H:\1209|BW||
1208|Cedar Falls Picnic Shelter|Polygon Northwest Company|K:\1208|BW||
1207|Baseline Woods Apartments|Polygon Vancouver|H:\1207|RT, AT, GG||
1207D|Baseline Woods Apts Extra Services Separate Cover|Polygon Vancouver|H:\1207|RT, AT, GG||
1207C|Baseline Woods Apts Extra Services Leasing Office|Polygon Vancouver|H:\1207|RT, AT, GG||
1207B|Baseline Woods Apts Extra Services|Polygon Vancouver|H:\1207|RT, AT, GG||
1207A|Baseline Woods Apts Extra Services Fire Separation Study|Polygon Vancouver|H:\1207|RT, AT, GG||
1206|Benridge Northwest|Investment Group|H:\1206|BW||
1205|Vashon Developmentally Disabled Homes|RO Enterprises, Inc.|K:\1205|RT||
1204|Brownstone at the Crossing (Longstaff) Apartments|JT Smith Companies|K:\1204|RT||
1204B|Brownstone at the Crossing Extra Services New Studio Unit|JT Smith Companies|K:\1204|RT|TRA 43|
1204A|Brownstone at the Crossing Extra Services Owner Changes|JT Smith Companies|K:\1204|RT||
1203|Barbee Mill 6414M.1 2-story Master on Main|Conner Homes|K:\1203|RT||
1203A|Barbee Mill 6414M.1 Extra Services Plot Plans|Conner Homes|K:\1203|RT||
1202|45 Central|MLG at Murray Village, LLC|K:\1202|BW||
1201|Scoccolo Pod C|Polygon Northwest Company|H:\1201|AT||
1201E|Scoccolo Pod C Extra Service Deck|Polygon Northwest Company|H:\1201|AT||
1201D|Scoccolo Pod C Extra Service Color Elevations|Polygon Northwest Company|H:\1201|AT||
1201C|Scoccolo Pod C Extra Service Owner Changes|Polygon Northwest Company|H:\1201|AT||
1201B|Scoccolo Pod C Extra Service|Polygon Northwest Company|H:\1201|AT||
1201A|Scoccolo Pod C Extra Service Sales Office|Polygon Northwest Company|H:\1201|AT||
1148|Timberland G Clubhouse|Polygon Vancouver|H:\1148|RT, DV||
1147|Timberland G Apartments|Polygon Vancouver|H:\1147|RT, AT||
1147B|Timberland G Apartments Extra Services Monument Sign|Polygon Vancouver|H:\1147|RT, AT||
1147A|Timberland G Apartments Extra Services Area Separation|Polygon Vancouver|H:\1147|RT, AT||
1146|Newport Way Issaquah|Bob Wenzl|H:\1146|RT, AF||26
1145|Timberland Area M SF|Polygon Vancouver|H:\1145|RT||
1145A|Timberland Area M SF Extra Services Change Patios to Decks (Front Loaded)|Polygon Vancouver|H:\1145|RT, DV||
1144|Division 95 Issaquah Highlands|Taylor Development|K:\1144|AT||
1143|Union Road Apartments|Dave Gutschmidt|K:\1143|BW||
1142|Hall Street|NW Area Investments, LLC|K:\1142|BW||
1141|Pearl Street|JWJ Group, LLC|H:\1141|RT||
1140|Lakeland Villa|Conner Homes|H:\1140|RT||
1139|Seattle Pacific University Multi-Family|Seattle Pacific University|K:\1139|RT||
1138|196th Apartments|Deal Properties|K:\1138|BW||
1137|Redmond Manor Parking Plan|Aegis Living|H:\1137|RT||
1136|High Point Block 31|Polygon Northwest Company|H:\1136|BW||
1135|Gateway Neighborhood B|Polygon Vancouver|H:\1135|RT, GG||
1134|Barbee Mill - 6414.4/.5 Duplex Elevation A|Conner Homes|K:\1134|RT||
1134A|Barbee Mill 6414.4/.5A Extra Svc XS Lot Plans|Conner Homes|K:\1134|RT||
1133|Edgewater at South Hill Plot Plans|Polygon Northwest Company|K:\1133|BW, GG||
1132|Barbee Mill 6414.6/.7|Conner Homes|H:\1132|RT||
1132B|Barbee Mill 6414.6/.7 Extra Services XS Lot Plans|Conner Homes|H:\1132|RT||
1132A|Barbee Mill 6414.6/.7 Extra Services Deck Modifications|Conner Homes|H:\1132|RT||
1131|Franklin Manor Apartments|PNF Investments|H:\1131|BW|Oak Harbor|
1131R|Franklin Manor Apartments Report|PNF Investments|H:\1131|BW||
1130|Cedar Ridge|Dave Christensen|K:\1130|BW||
1129|Mondavio|Polygon Northwest Company|H:\1129|DV||
1129C|Mondavio Extra Services|Polygon Northwest Company|H:\1129|DV||
1129B|Mondavio Extra Services Sales Office|Polygon Northwest Company|H:\1129|DV||
1129A|Mondavio Extra Services|Polygon Northwest Company|H:\1129|DV||
1128|Hopkins|Polygon Northwest Company|K:\1128|BW||
1127|Inglewood|Polygon Northwest Company|K:\1127|BW||
1126|Kings Corner|Polygon Northwest Company|K:\1126|BW||
1125|High Point Block 32|Polygon Northwest Company|H:\1125|DV||
1125D|High Point Block 31/32 Extra Services Permit Corrections/Plan Rev|Polygon Northwest Company|H:\1125|DV||
1125B|High Point Block 32 Extra Services Owner Revisions|Polygon Northwest Company|H:\1125|DV||
1125A|High Point Sales Office|Polygon Northwest Company|H:\1125|BW, AF||
1124|I-Sheets|Polygon Vancouver|H:\1124|BW||
1123|Creekside|Greacen Construction, Inc.|H:\1123|BW||
1122|Barbee Mill - 6414.2B Duplex Elevation B|Conner Homes|H:\1122|RT||
1122C|Barbee Mill - 6414.2/.3 Extra Services Lots 59‐60|Conner Homes|H:\1122C|RT||
1122B|Barbee Mill - 6412.2/.3 Extra Services Lot 55 & 56|Conner Homes|H:\1122|RT||
1122A|Barbee Mill - 6414.2/.3B Extra Services Plot Plans|Conner Homes|H:\1122|RT||
1121|Edgewater on The Tualatin SF|Polygon Vancouver|H:\1121|RT, DB||
1121C|Edgewater on The Tualatin SF Extra Services Elevation C|Polygon Vancouver|H:\1121|RT, DB|Edgewater III is Deercreek Woods|
1121B|Edgewater on The Tualatin SF Extra Services NEEA Application|Polygon Vancouver|H:\1121|RT, DB||
1121A|Edgewater on The Tualatin SF Extra Services Crawl Space TJI Framing|Polygon Vancouver|H:\1121|RT, DB||
1120|Bonney Lake Apartments|Rudeen Development|K:\1120|BW||
1119|Villebois II Master Planning, Plans 2, 4, 7, 14 |Polygon Vancouver|H:\1119|RT, AF, DB||16
1119D|Villebois II Extra Services Fenced Courtyards|Polygon Vancouver|H:\1119|RT||
1119C|Villebois II Extra Services Enhanced Elevations|Polygon Vancouver|H:\1119|RT, AF, DB||
1119B|Villebois II Extra Services Picnic Shelter|Polygon Vancouver|H:\1119|RT, AF, DB||
1119A|Villebois II Extra Services Owner Changes|Polygon Vancouver|H:\1119|RT, AF, DB||
1118|Edgewater at South Hill|Polygon Northwest Company|K:\1118|BW, GG||
1118A|Edgewater at South Hill Extra Svc Owner Changes|Polygon Northwest Company|K:\1118|BW, GG||
1117|The Overlook SF @ Somerset Hill|Polygon Northwest Company|H:\1117|BW||
1117E|The Overlook SF Extra Services 2430Ags & 3022BgS|Polygon Northwest Company|H:\1117|BW||
1117D|The Overlook SF Extra Services Design Changes|Polygon Northwest Company|H:\1117|BW||
1117C|The Overlook SF Extra Services Sales Office|Polygon Northwest Company|H:\1117|BW||
1117B|The Overlook SF Extra Services Deck Plans|Polygon Northwest Company|H:\1117|BW||
1117A|The Overlook SF Extra Services Owner Changes|Polygon Northwest Company|H:\1117|BW||
1116|The Overlook Site Plan|Polygon Northwest Company|H:\1116|BW||
1115|Office Building|Mr. Kim|K:\1115|BW||
1114|Jubilee III AA Apartments|Jenamar|K:\1114|RT||
1114L|Jubilee III AA Apartments - Elevations|Jenamar|K:\1114|RT||
1113|Spring Haven|Polygon Northwest Company|K:\1113|BW||
1112|Sommerwood Single Family Houses|Polygon Northwest Company|K:\1112|BW||
1112A|Sommerwood SF Houses Sales Office|Polygon Northwest Company|K:\1112|BW||
1111|Sommerwood Site Plan|Polygon Northwest Company|K:\1111|BW||
1111A|Sommerwood Site Plan Sales Office|Polygon Northwest Company|K:\1111|BW||
1110|Aegis Lodge West Wing Memory Care|Aegis Living|K:\1110|RT||18
1110B|Aegis Lodge West Wing Memory Care Extra Services - Permit Processing|Aegis Living|K:\1110|RT||
1110A|Aegis Lodge West Wing Memory Care Extra Services|Aegis Living|K:\1110|RT||
1109|Heron Creek Apartments|Polygon Vancouver|K:\1109|RT, DV||
1109A|Heron Creek Apartments Extra Services Lease Office|Polygon Vancouver|K:\1109|RT, DV||
1108|KN4025|Polygon Northwest Company|K:\1108|BW||
1108A|KN4025 Extra Services|Polygon Northwest Company|K:\1108|BW||
1107|High Point Plot Plans|Polygon Northwest Company|H:\1107|BW, GG||
1106|Barbee Mill - 6414.1 Duplex Elevation A|Conner Homes|H:\1106|RT||
1106D|Barbee Mill - Mill Pond 6414.1A Extra Services Plot Plans for Lots 57‐58|Conner Homes|H:\1106|RT||
1106C|Barbee Mill - Mill Pond 6414.1A Extra Services Lot 93/94|Conner Homes|H:\1106|RT||
1106B|Barbee Mill - Mill Pond 6414.1A Extra Services Plot Plans|Conner Homes|H:\1106|RT||
1106A|Barbee Mill - Mill Pond 2‐story Duplex Extra Services Plot Plans|Conner Homes|H:\1106|RT||
1105|Timberland Area M (Duplex)|Polygon Vancouver|K:\1105|RT||
1105A|Timberland Area M (Duplex) Extra Service Unit Redevelopment|Polygon Vancouver|K:\1105|RT||
1104|Pioneer Heights Single‐Family|Polygon Northwest Company|K:\1104|BW||
1104B|Pioneer Heights SF Extra Services Sales Office|Polygon Northwest Company|K:\1104|BW||
1104A|Pioneer Heights SF Extra Services Owner Changes|Polygon Northwest Company|K:\1104|BW||
1103|Sunrise Apartments at Happy Valley|Polygon Vancouver|K:\1103|RT, DV, AT|Sunridge Terrace|
1103B|Sunrise Apartments Extra Services Fair Housing Claim|Polygon Vancouver|K:\1103|RT|Sunridge Terrace|
1103A|Sunrise Apartments at Happy Valley Extra Services Lease Office|Polygon Vancouver|K:\1103|RT, DV, AT|Sunridge Terrace|
1102|Snowbird SF|Polygon Northwest Company|K:\1102|BW||
1101|Scoccolo SEPA Site Plan|Polygon Northwest Company|K:\1101|AT||
1041|Pioneer Heights|Polygon Northwest Company|K:\1041|BW||
1040|Issaquah Highlands|Polygon Northwest Company|H:\1040|BW||
1039|Economical Product Development|Polygon Northwest Company|H:\1039|RT, BW||
1038|Bella Park Single‐Family|Polygon Northwest Company|K:\1038|BW||
1038B|Bella Park SF Extra Services Elevation Revisions|Polygon Northwest Company|K:\1038|BW||
1038A|Bella Park SF Extra Services New Unit Types|Polygon Northwest Company|K:\1038|BW||
1037|Bella Park|Polygon Northwest Company|K:\1037|BW||
1036|Union Hill|Polygon Northwest Company|H:\1036|BW||13
1035|Martha Lake Town Center|Intracorp|H:\1035|BW||6
1034|Northlake Division II Single‐Family|Polygon Northwest Company|H:\1034|BW||
1034B|Northlake Division II Single‐Family Extra Services Owner Changes|Polygon Northwest Company|H:\1034|BW||
1033|Northlake Division II Site|Polygon Northwest Company|H:\1033|BW||
1032|High Point Block 24|Polygon Northwest Company|K:\1032|DV||
1032D|High Point Block 24 Extra Services Permit revisions|Polygon Northwest Company|K:\1032|BW, DV||
1032C|High Point Block 24 Extra Services Color Scheme Revisions|Polygon Northwest Company|K:\1032|BW, DV||
1032B|High Point Block 24 Extra Services Window schedule change|Polygon Northwest Company|K:\1032|BW, DV||
1032A|High Point Block 24 Extra Services Owner changes|Polygon Northwest Company|K:\1032|BW, DV||
1031|Villebois|Polygon Vancouver|K:\1031|RT, AF||
1031F|Villebois Extra Services New Plan 8 House|Polygon Vancouver|K:\1031|RT, AF||
1031E|Villebois Extra Services Plan Check from Field Changes|Polygon Vancouver|K:\1031|RT, AF||
1031D|Villebois Extra Services Framing Revision|Polygon Vancouver|K:\1031|RT, AF||
1031C|Villebois Extra Services Phase II Rec Building|Polygon Vancouver|K:\1031|RT, AF||
1031B|Villebois Extra Services Enhanced Side Elevations|Polygon Vancouver|K:\1031|RT, AF||
1031A|Villebois Extra Services Mirrored Plans|Polygon Vancouver|K:\1031|RT, AF||
1030|Suntop Condominium Site|Investco|K:\1030|BW||
1029|Snowbird|Polygon Northwest Company|H:\1029|BW||
1029C|Snowbird Extra Services Sales Office|Polygon Northwest Company|H:\1029|BW||
1028|Polygon Sales Trailer|Polygon Vancouver|K:\1028|BW||
1027|Scoccolo Pod B Townhomes|Polygon Northwest Company|K:\1027|RT||15
1026|Holly Park Building Review|Polygon Northwest Company|H:\1026|BW||
1025|Suncrest Division II Single‐Family|Polygon Northwest Company|K:\1025|BW||
1025A|Suncrest Division II Single‐Family Extra Services Owner Changes|Polygon Northwest Company|K:\1025|BW||
1024|Suncrest Division II Site Plan|Polygon Northwest Company|H:\1024|BW||
1023|Kona Skilled Nursing|JWJ Group, LLC|H:\1023|RT||20
1022|Maple Valley Single‐Family|Polygon Northwest Company|K:\1022|BW|Morningview Place|
1022C|Maple Valley Single‐Family Extra Services|Polygon Northwest Company|K:\1022|BW|Morningview Place|
1022B|Maple Valley Single‐Family Extra Services Owner Changes|Polygon Northwest Company|K:\1022|BW|Morningview Place|
1022A|Maple Valley Single‐Family Extra Services Sales Office|Polygon Northwest Company|K:\1022|BW|Morningview Place|
1021|Coho Site Plan (Covington Lots)|Polygon Northwest Company|K:\1021|BW||
1020|Greenbridge|Polygon Northwest Company|K:\1020|BW||14
1019|Barbee Mill 6415 Mill Pond Value Engineering|Conner Homes|K:\1019|RT||
1019D|Barbee Mill 6415 Mill Pond Value Engineering Extra Services 6415.1/.2,.3/.4|Conner Homes|K:\1019|RT||
1019C|Barbee Mill 6415 Mill Pond Value Engineering Extra Services Energy Code Updates|Conner Homes|K:\1019|RT||
1019B|Barbee Mill 6415 Mill Pond Value Engineering Extra Services|Conner Homes|K:\1019|RT||
1019A|Barbee Mill 6415 Mill Pond Value Engineering Extra Services CAD Setup|Conner Homes|K:\1019|RT||
1018|Coho Single‐Family (Covington)|Polygon Northwest Company|K:\1018|BW||
1018B|Coho Single‐Family (Covington) Extra Services Sales Office|Polygon Northwest Company|K:\1018|BW||
1018A|Coho Single‐Family (Covington) Extra Services Plan/Elev|Polygon Northwest Company|K:\1018|BW||
1017|Gateway Neighborhood C|Polygon Vancouver|H:\1017|RT, AT||
1017C|Gateway Neighborhood C Extra Services|Polygon Vancouver|H:\1017|RT, AT||
1017B|Gateway Neighborhood C Extra Services Mirrored Plans for City|Polygon Vancouver|H:\1017|RT, AT||
1017A|Gateway Neighborhood C Extra Services Site Plan|Polygon Vancouver|H:\1017|RT, AT||
1016|Silver Lake Site Plan|Polygon Northwest Company|H:\1016|BW||
1015|Sophia Glen Site Plan|Polygon Northwest Company|K:\1015|BW||
1014|Duplex 2‐hr Party Wall Details|Conner Homes|H:\1014|RT||
1013|Maple Valley Site Plan|Polygon Northwest Company|K:\1013|BW||
1012|Silver Lake Single‐Family|Polygon Northwest Company|K:\1012|BW||
1012B|Silver Lake Single‐Family Extra Services Sales Office|Polygon Northwest Company|K:\1012|BW||
1012A|Silver Lake Single‐Family Extra Services Plan/Elev|Polygon Northwest Company|K:\1012|BW||
1011|Overlook Glen Single Family|Polygon Northwest Company|K:\1011|BW|Sophia Glen|
1011E|Sophia Glenn Extra Services 4010 Plan|Polygon Northwest Company|K:\1011|BW||
1011D|Sophia Glenn Extra Services Bank Package|Polygon Northwest Company|K:\1011|BW||
1011C|Sophia Glenn Extra Services Sales Office|Polygon Northwest Company|K:\1011|BW||
1011B|Sophia Glenn Extra Services Owner Changes|Polygon Northwest Company|K:\1011|BW||
1011A|Sophia Glenn Extra Services Plan/Elev changes per Richard|Polygon Northwest Company|K:\1011|BW||
1010|Blackstone for Polygon|Polygon Northwest Company|K:\1010|RT, AT|Dunhill Terrace|12
1010I|Blackstone Extra Services Individual Permit Sets|Polygon Northwest Company|K:\1010|RT, AT|Dunhill Terrace|
1010H|Blackstone Extra Services Color Study per Richard|Polygon Northwest Company|K:\1010|RT, AT|Dunhill Terrace|
1010G|Blackstone Extra Services Carriage Bathroom/Kitchen Redesign|Polygon Northwest Company|K:\1010|RT, AT|Dunhill Terrace|
1010F|Blackstone Extra Services Site Plan submittal|Polygon Northwest Company|K:\1010|RT, AT|Dunhill Terrace|
1010E|Blackstone Extra Services Garage 3 submittal|Polygon Northwest Company|K:\1010|RT, AT|Dunhill Terrace|
1010D|Blackstone Extra Services Sales Office|Polygon Northwest Company|K:\1010|RT, AT|Dunhill Terrace|
